dataset,size,run,peak_memory_mb
A,Small,run01,153.61
A,Small,run02,180.30
A,Small,run03,182.62
A,Small,run04,182.92
A,Small,run05,183.53
A,Medium,run01,180.56
A,Medium,run02,181.30
A,Medium,run03,178.75
A,Medium,run04,173.69
A,Medium,run05,183.05
A,Large,run01,185.64
A,Large,run02,152.09
A,Large,run03,178.83
A,Large,run04,171.38
A,Large,run05,198.42
B,Small,run01,181.56
B,Small,run02,188.50
B,Small,run03,178.50
B,Small,run04,180.36
B,Small,run05,185.59
B,Medium,run01,184.22
B,Medium,run02,181.56
B,Medium,run03,181.45
B,Medium,run04,175.19
B,Medium,run05,182.30
B,Large,run01,200.20
B,Large,run02,183.69
B,Large,run03,182.34
B,Large,run04,183.36
B,Large,run05,173.81
C,Small,run01,181.92
C,Small,run02,185.19
C,Small,run03,183.94
C,Small,run04,174.64
C,Small,run05,180.28
C,Medium,run01,179.19
C,Medium,run02,176.34
C,Medium,run03,165.19
C,Medium,run04,183.39
C,Medium,run05,188.73
C,Large,run01,189.95
C,Large,run02,189.08
C,Large,run03,184.20
C,Large,run04,193.34
C,Large,run05,184.83
